datetime,close,high,low,open,volume
16-11-2017 00:00,254.7,256.15,251.35,253.55,5264913
17-11-2017 00:00,258.85,263.2,256.75,256.75,5927180
20-11-2017 00:00,261.45,262.5,253.3,259,6377940
21-11-2017 00:00,261.45,265.1,259.25,262.6,3610061
22-11-2017 00:00,257.75,263.85,256.8,262.8,4497727
23-11-2017 00:00,255.25,258.65,250.05,257,9682203
24-11-2017 05:30,251.65,255.75,251,255.3,6186665
27-11-2017 00:00,249.65,253.6,247.2,250.9,7592581
28-11-2017 00:00,250.65,253,248,249.15,4692698
29-11-2017 00:00,246.9,251.95,246,250.9,5285364
30-11-2017 00:00,240.45,247.45,239.5,245.1,14998374
01-12-2017 05:30,235.35,241.35,233.55,240.5,7209250
04-12-2017 00:00,239.55,240.85,234.65,236.5,6457124
05-12-2017 00:00,240.05,241.7,235.7,238.85,6775195
06-12-2017 00:00,232.1,236.65,231.2,236.5,7402990
07-12-2017 00:00,237.2,238,229.4,232.5,7697931
08-12-2017 05:30,239.7,243.95,237.55,238.45,8857585
11-12-2017 00:00,238.1,240.85,236.05,240,6613622
12-12-2017 00:00,237.95,243.2,236.6,238.45,5268296
13-12-2017 00:00,234.45,239.9,233.55,235.65,7349390
14-12-2017 00:00,236.4,238,233.05,235.5,6618531
15-12-2017 05:30,242.75,243.95,239.1,240.85,6290840
18-12-2017 00:00,249.65,254.3,235.5,241,13833894
19-12-2017 00:00,254.3,254.9,250.6,252,5550113
20-12-2017 00:00,258.35,261,251.2,254.5,15519081
21-12-2017 00:00,263.3,264.65,259.65,260.9,13770746
22-12-2017 05:30,267.85,269.5,263.35,263.5,7760233
26-12-2017 00:00,268.65,270.5,266.5,268.8,4332214
27-12-2017 00:00,265.75,269.7,264.7,268.9,6351948
28-12-2017 00:00,275.25,278.8,267,267,22938436
29-12-2017 05:30,273.55,276.75,270.7,276.75,5007765
01-01-2018 00:00,271.15,277.9,270,273,4614411
02-01-2018 00:00,271.9,274.4,268.1,274.4,4546324
03-01-2018 00:00,276.5,279.35,273.1,273.4,7285874
04-01-2018 00:00,279.8,281.3,274.8,277.1,10346774
05-01-2018 05:30,276.4,284,275.1,282,7084973
08-01-2018 05:30,276.15,279.05,273.7,277,4157464
